alumno_id;codigo_clase;auton1;condeval1
303010623.0;CRZHSJM2;5;1
303010701.0;FBSNBSS2;5;4
303010702.0;FBSNBSS2;2;1
303010703.0;FBSNBSS2;4;2
303010704.0;FBSNBSS2;4;3
303010705.0;FBSNBSS2;5;1
303010706.0;FBSNBSS2;5;4
303010707.0;FBSNBSS2;5;5
303010708.0;FBSNBSS2;4;2
303010709.0;FBSNBSS2;4;2
303010710.0;FBSNBSS2;4;1
303010711.0;FBSNBSS2;5;2
303010712.0;FBSNBSS2;5;2
303010713.0;FBSNBSS2;5;1
303010714.0;FBSNBSS2;4;1
303010715.0;FBSNBSS2;4;1
303010801.0;VBGS96WX;5;5
303010802.0;VBGS96WX;5;3
303010803.0;VBGS96WX;5;5
303010804.0;VBGS96WX;4;4
303010805.0;VBGS96WX;5;5
303010806.0;VBGS96WX;5;4
303010807.0;VBGS96WX;4;3
303010808.0;VBGS96WX;5;1
303010809.0;VBGS96WX;5;1
303010810.0;VBGS96WX;4;1
303010811.0;VBGS96WX;5;1
303010812.0;VBGS96WX;5;1
303010813.0;VBGS96WX;5;1
303010814.0;VBGS96WX;5;1
303010815.0;VBGS96WX;4;1
303010816.0;VBGS96WX;4;2
303010901.0;J9AM3CHL;4;1
303010902.0;J9AM3CHL;5;1
303010903.0;J9AM3CHL;5;4
303010904.0;J9AM3CHL;5;2
303010905.0;J9AM3CHL;5;1
303010906.0;J9AM3CHL;4;1
303010907.0;J9AM3CHL;5;5
303010908.0;J9AM3CHL;5;3
303010909.0;J9AM3CHL;5;5
303010910.0;J9AM3CHL;3;5
303010911.0;J9AM3CHL;3;2
303010912.0;J9AM3CHL;3;3
303010913.0;J9AM3CHL;3;4
303010914.0;J9AM3CHL;3;4
303010915.0;J9AM3CHL;5;5
303010916.0;J9AM3CHL;5;3
303010917.0;J9AM3CHL;3;3
303010918.0;J9AM3CHL;5;1
303010919.0;J9AM3CHL;5;1
303010920.0;J9AM3CHL;4;2
303010921.0;J9AM3CHL;3;4
303010922.0;J9AM3CHL;3;3
303010923.0;J9AM3CHL;3;5
303011001.0;EVHNGS3X;5;3
303011002.0;EVHNGS3X;4;5
303011003.0;EVHNGS3X;1;3
303011004.0;EVHNGS3X;1;3
303011005.0;EVHNGS3X;4;4
303011006.0;EVHNGS3X;4;5
303011007.0;EVHNGS3X;4;4
303011008.0;EVHNGS3X;2;1
303011009.0;EVHNGS3X;3;5
303011010.0;EVHNGS3X;4;1
303011011.0;EVHNGS3X;5;1
303011012.0;EVHNGS3X;5;1
303011013.0;EVHNGS3X;4;5
303011014.0;EVHNGS3X;3;1
303011015.0;EVHNGS3X;3;1
303011016.0;EVHNGS3X;1;4
303011017.0;EVHNGS3X;3;3
303011101.0;Z5T6WSD2;5;2
303011102.0;Z5T6WSD2;4;5
303011103.0;Z5T6WSD2;5;5
303011104.0;Z5T6WSD2;5;1
303011105.0;Z5T6WSD2;5;1
303011106.0;Z5T6WSD2;5;4
303011107.0;Z5T6WSD2;5;5
303011108.0;Z5T6WSD2;4;1
303011109.0;Z5T6WSD2;5;4
303011110.0;Z5T6WSD2;4;2
303011111.0;Z5T6WSD2;5;4
303011112.0;Z5T6WSD2;5;5
303011113.0;Z5T6WSD2;5;3
303011114.0;Z5T6WSD2;5;4
303011115.0;Z5T6WSD2;5;4
303011201.0;9HR4DECQ;3;4
303011202.0;9HR4DECQ;3;1
303011203.0;9HR4DECQ;2;5
303011204.0;9HR4DECQ;5;2
303011205.0;9HR4DECQ;4;1
303011206.0;9HR4DECQ;5;1
303011207.0;9HR4DECQ;4;2
303011208.0;9HR4DECQ;2;2
303011209.0;9HR4DECQ;4;1
303011210.0;9HR4DECQ;5;5
303011211.0;9HR4DECQ;5;4
303011212.0;9HR4DECQ;5;1
303011213.0;9HR4DECQ;5;5
303011214.0;9HR4DECQ;1;5
303011215.0;9HR4DECQ;5;5
303011216.0;9HR4DECQ;5;5
